name,frame,ra,dec,band_idx,wavelength,receiver,flux_jy,uvmin_kl,uvmax_kl,cfg_A,cfg_B,cfg_C,cfg_D
0001+192,J2000,00h01m08.621563s,"19d14'33.801860""",0,0.7cm,Q,0.18,,,W,W,W,W
0003-174,J2000,00h03m21.9969s,"-17d27'11.781""",0,90cm,P,7.0,,7.0,X,S,S,S
0003-174,J2000,00h03m21.9969s,"-17d27'11.781""",1,20cm,L,2.2,,7.0,X,X,X,S
0004+462,J2000,00h04m16.127651s,"46d15'17.970010""",0,0.7cm,Q,0.12,,,W,W,W,W
0004+203,J2000,00h04m35.7576s,"20d19'42.249""",0,0.7cm,Q,0.21,,,W,W,W,W
0005+544,J2000,00h05m04.363531s,"54d28'24.926230""",0,2cm,U,0.48,,,S,S,S,S
0005+544,J2000,00h05m04.363531s,"54d28'24.926230""",1,0.7cm,Q,0.46,,,W,W,W,W
0005+383,J2000,00h05m57.175409s,"38d20'15.148570""",0,20cm,L,0.52,,,X,X,X,X
0005+383,J2000,00h05m57.175409s,"38d20'15.148570""",1,6cm,C,0.8,,,P,P,P,P
0005+383,J2000,00h05m57.175409s,"38d20'15.148570""",2,3.7cm,X,1.1,,,P,P,P,P
0005+383,J2000,00h05m57.175409s,"38d20'15.148570""",3,2cm,U,0.67,,,S,S,S,S
0005+383,J2000,00h05m57.175409s,"38d20'15.148570""",4,0.7cm,Q,0.8,,,S,S,S,S
0006-063,J2000,00h06m13.892894s,"-06d23'35.335300""",0,20cm,L,1.6,45.0,,S,X,X,X
0006-063,J2000,00h06m13.892894s,"-06d23'35.335300""",1,6cm,C,1.3,,,P,P,P,P
0006-063,J2000,00h06m13.892894s,"-06d23'35.335300""",2,3.7cm,X,1.6,,,P,P,P,P
0006-063,J2000,00h06m13.892894s,"-06d23'35.335300""",3,2cm,U,1.1,,,P,P,P,P
0006-063,J2000,00h06m13.892894s,"-06d23'35.335300""",4,0.7cm,Q,1.5,,,S,S,S,S
0006-000,J2000,00h06m22.6338s,"-00d04'24.086""",0,90cm,P,12.0,,3.0,X,X,S,S
0006-000,J2000,00h06m22.6338s,"-00d04'24.086""",1,20cm,L,3.8,,3.0,X,X,X,S
0006+243,J2000,00h06m48.789395s,"24d22'36.392490""",0,0.7cm,Q,0.17,,,W,W,W,W
0008+117,J2000,00h08m00.8394s,"11d44'00.784""",0,0.7cm,Q,0.11,,,W,W,W,W
0008+686,J2000,00h08m33.471549s,"68d37'22.045040""",0,2cm,U,0.29,,,W,W,W,W
0008+686,J2000,00h08m33.471549s,"68d37'22.045040""",1,0.7cm,Q,0.27,,,W,W,W,W
0009+064,J2000,00h09m03.9327s,"06d28'21.238""",0,0.7cm,Q,0.32,,,W,W,W,W
0009+400,J2000,00h09m04.173595s,"40d01'46.704740""",0,0.7cm,Q,0.13,,,W,W,W,W
0010+207,J2000,00h10m28.7425s,"20d47'49.713""",0,0.7cm,Q,0.11,,,W,W,W,W
